City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Daru,PG,-9.0763,143.2092,81.14,84,100,15.05,overcast clouds
80,Thompson,CA,55.7435,-97.8558,39.36,100,75,8.05,mist
81,Vaini,TO,-21.2,-175.2,73.56,88,40,10.36,scattered clouds
82,Peterhead,GB,57.5058,-1.7981,52.5,90,100,11.41,overcast clouds
83,Sandwick,GB,60.0,-1.25,57.02,88,75,10.36,broken clouds
84,Pasighat,IN,28.0667,95.3333,83.3,87,91,2.51,overcast clouds
85,Znamenskoye,RU,57.1281,73.8282,75.67,34,90,10.54,overcast clouds
86,Haines Junction,CA,60.7522,-137.5108,48.42,94,100,5.12,overcast clouds
87,Rabo De Peixe,PT,37.8,-25.5833,71.28,77,20,2.3,few clouds
88,Qaanaaq,GL,77.484,-69.3632,22.57,74,100,7.87,overcast clouds
89,Dubai,AE,25.2582,55.3047,94.89,39,0,6.06,clear sky
90,Nioro,GM,13.35,-15.75,73.87,95,96,3.24,overcast clouds
91,Ostrovnoy,RU,68.0531,39.5131,42.76,71,100,16.02,overcast clouds
92,Iquitos,PE,-3.7481,-73.2472,75.24,94,75,2.3,broken clouds
93,Melbu,NO,68.5044,14.8297,48.02,81,75,11.5,light rain
94,Bredasdorp,ZA,-34.5322,20.0403,63.77,43,19,5.46,few clouds
95,Port Alfred,ZA,-33.5906,26.891,64.18,71,0,4.0,clear sky
96,Torbay,CA,47.6666,-52.7314,45.5,94,0,3.22,clear sky
97,Bambous Virieux,MU,-20.3428,57.7575,76.21,73,40,14.97,scattered clouds
98,Barrow,US,71.2906,-156.7887,37.42,93,100,4.61,overcast clouds
99,Navirai,BR,-23.065,-54.1906,64.45,98,53,2.77,broken clouds
100,Saint George,US,37.1041,-113.5841,75.94,32,0,6.91,clear sky
101,Porosozero,RU,62.7191,32.727,44.74,84,100,3.65,overcast clouds
102,Mount Isa,AU,-20.7333,139.5,87.57,33,79,11.5,broken clouds
103,Talnakh,RU,69.4865,88.3972,33.21,48,100,25.34,overcast clouds
104,Seoul,KR,37.5683,126.9778,76.39,30,0,4.16,clear sky
105,Douglas,US,41.3,-96.167,76.3,62,0,11.5,clear sky
106,Koumac,NC,-20.5667,164.2833,75.54,76,28,9.78,scattered clouds
107,Mount Gambier,AU,-37.8333,140.7667,58.01,80,58,3.83,broken clouds
108,Brae,GB,60.3964,-1.353,56.25,93,100,12.97,overcast clouds
109,Praia Da Vitoria,PT,38.7333,-27.0667,73.76,94,30,3.44,scattered clouds
110,Staroleushkovskaya,RU,45.9906,39.7631,68.5,53,89,9.82,overcast clouds
111,Bratsk,RU,56.1325,101.6142,37.89,62,100,15.52,overcast clouds
112,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,87,6,0.58,clear sky
113,Eyl,SO,7.9803,49.8164,88.84,54,0,17.92,clear sky
114,Garmsar,IR,35.2182,52.3409,88.92,14,2,5.88,clear sky
115,Alice Springs,AU,-23.7,133.8833,76.55,22,0,8.05,clear sky
116,Merauke,ID,-8.4667,140.3333,82.42,82,100,16.22,heavy intensity rain
117,Beloha,MG,-25.1667,45.05,85.23,27,0,7.83,clear sky
118,Saquena,PE,-4.6667,-73.5167,70.9,97,92,1.99,overcast clouds
119,Monte Alegre,BR,-2.0078,-54.0692,75.4,77,29,5.5,scattered clouds
120,Naze,JP,28.3667,129.4833,75.04,83,79,21.74,broken clouds
121,Kaitangata,NZ,-46.2817,169.8464,47.7,83,100,2.8,overcast clouds
122,Vilhena,BR,-12.7406,-60.1458,73.71,63,24,2.8,few clouds
123,East London,ZA,-33.0153,27.9116,59.94,77,20,3.44,few clouds
124,Kishanganj,IN,26.1167,87.9333,89.1,65,61,11.99,broken clouds
125,Nalut,LY,30.3333,10.85,87.96,13,0,6.17,clear sky
126,Mahebourg,MU,-20.4081,57.7,76.24,73,40,14.97,scattered clouds
127,Comodoro Rivadavia,AR,-45.8667,-67.5,41.97,91,100,20.04,light rain
128,Samandag,TR,36.0842,35.9771,79.95,68,67,13.85,broken clouds
129,Neka,IR,36.6508,53.299,91.35,35,39,7.18,scattered clouds
130,Dikson,RU,73.5069,80.5464,31.73,77,100,32.59,overcast clouds
131,Bathsheba,BB,13.2167,-59.5167,81.7,81,43,21.39,scattered clouds
132,Kinsale,IE,51.7075,-8.5306,56.23,87,75,3.44,broken clouds
133,Cape Town,ZA,-33.9258,18.4232,61.11,72,0,4.61,clear sky
134,Abong Mbang,CM,3.9833,13.1833,69.64,94,100,2.51,overcast clouds
135,Bilibino,RU,68.0546,166.4372,35.83,80,100,15.23,overcast clouds
136,Saint-Pierre,RE,-21.3393,55.4781,76.68,61,0,28.77,clear sky
137,Jamestown,US,42.097,-79.2353,58.17,77,20,3.44,mist
138,College,US,64.8569,-147.8028,47.21,91,100,1.16,overcast clouds
139,Ribeira Grande,PT,38.5167,-28.7,72.0,88,75,3.44,broken clouds
140,Half Moon Bay,US,37.4636,-122.4286,65.25,78,75,9.22,broken clouds
141,Cabedelo,BR,-6.9811,-34.8339,72.27,82,0,7.25,clear sky
142,Puerto Ayora,EC,-0.7393,-90.3518,67.55,88,79,8.01,broken clouds
