City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
149,Cabo San Lucas,MX,79.52,scattered clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
151,Port Augusta,AU,62.64,clear sky,-32.5,137.7667,Majestic Oasis Apartments
153,Cidreira,BR,61.66,overcast clouds,-30.1811,-50.2056,Hotel Castelo
156,Porto Novo,BJ,75.83,overcast clouds,6.4965,2.6036,Tour Eiffel Hotel Benin
157,Saint-Joseph,RE,75.58,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
158,Vila Velha,BR,70.95,overcast clouds,-20.3297,-40.2925,Hotel Vitória Palace
163,Parga,GR,73.13,clear sky,39.2831,20.3964,Palatino Hotel
164,Kapaa,US,79.11,clear sky,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
170,Vieste,IT,67.66,clear sky,41.8825,16.175,Hotel Falcone
174,Geraldton,AU,70.21,clear sky,-28.7667,114.6,Broadwater Mariner Resort
175,Caravelas,BR,71.15,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
179,Mizusawa,JP,64.62,few clouds,39.1333,141.1333,Mizusawa Kita Hotel
182,Kruisfontein,ZA,60.49,clear sky,-34.0033,24.7314,Oyster Bay House Rental
185,Ilhabela,BR,66.88,overcast clouds,-23.7781,-45.3581,Ilha Flat Hotel
186,Belmonte,BR,72.5,overcast clouds,-15.8631,-38.8828,Pousada Monte Carmelo O Pão
187,Man,CI,70.2,light rain,7.4125,-7.5538,Sodetherm Hotel les Cascades Ma
190,Iracoubo,GF,76.55,overcast clouds,5.4802,-53.2011,Le Gîte d’Iracoubo
194,Ribas Do Rio Pardo,BR,72.07,clear sky,-20.4431,-53.7592,Pousada Avenida
196,Praia,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
201,Hasaki,JP,72.28,broken clouds,35.7333,140.8333,Inubosaki Kanko Hotel
202,Bonito,BR,67.91,scattered clouds,-21.1211,-56.4819,Marruá Hotel
204,Namibe,AO,67.28,overcast clouds,-15.1961,12.1522,Hotel Chik Chik Namibe
208,Gizo,SB,75.76,moderate rain,-8.103,156.8419,Imagination Island
210,Pitsunda,GE,64.58,heavy intensity rain,43.1592,40.3378,Hotel FREEDOM
211,La Palma,US,70.41,clear sky,33.8464,-118.0467,La Quinta Inn & Suites by Wyndham Buena Park
213,Portland,US,67.41,clear sky,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
215,Kochubey,RU,78.82,clear sky,44.3861,46.5825,Europa
216,Yambio,SS,77.32,scattered clouds,4.5721,28.3955,Naivasha Hotel
217,Saint Anthony,US,68.67,clear sky,45.0205,-93.218,"Holiday Inn Express Roseville-St. Paul, an IHG Hotel"
220,Port Lincoln,AU,61.07,few clouds,-34.7333,135.8667,Port Lincoln Hotel
221,Launceston,AU,67.6,overcast clouds,-41.45,147.1667,Hotel Grand Chancellor Launceston
223,Bengkulu,ID,79.84,light rain,-3.8004,102.2655,Grage Hotel Bengkulu
224,Laguna,US,65.28,overcast clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
225,Belance,PH,77.27,broken clouds,16.1833,121.25,Sea of Clouds Dupax Norte Nueva Vizcaya
231,Praya,CV,75.74,scattered clouds,14.9215,-23.5087,LT Aparthotel
233,Ordzhonikidze,KZ,73.83,clear sky,52.4411,61.7408,Tomiris
234,Shenjiamen,CN,72.77,overcast clouds,29.9576,122.298,Jinjiang Inn Zhoushan Putuo Shenjiamen
236,Orange Cove,US,69.6,overcast clouds,36.6244,-119.3137,
238,Lodja,CD,78.57,overcast clouds,-3.4833,23.4333,
241,Richards Bay,ZA,62.26,light rain,-28.783,32.0377,BON Hotel Waterfront Richards Bay
242,Manzanillo,CU,75.2,overcast clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
243,Yinchuan,CN,77.72,clear sky,38.4681,106.2731,JJ Inns - Yinchuan New Moon Square Branch
245,Barreirinha,BR,75.0,broken clouds,-2.7933,-57.07,Hotel e Restaurante Tupana Iwato
246,Yarmouth,US,61.0,overcast clouds,41.7057,-70.2286,Blue Rock Resort
247,Katsuura,JP,70.14,overcast clouds,35.1333,140.3,Katsuura Hotel Mikazuki
252,Fonte Boa,BR,71.31,broken clouds,-2.4959,-66.2662,
257,Mackay,AU,77.68,clear sky,-21.15,149.2,International Lodge Motel
262,Bobcaygeon,CA,60.89,clear sky,44.5462,-78.542,The Bobcaygeon Inn And The Royal Moose Grill & Waterfront Patio
263,Gafanha Da Encarnacao,PT,68.05,clear sky,40.6181,-8.733,Hotel Barra
265,Inhambane,MZ,79.54,broken clouds,-23.865,35.3833,Oceano
267,Rovnoye,RU,62.65,overcast clouds,50.7765,46.0509,
268,Saldanha,ZA,60.4,broken clouds,-33.0117,17.9442,Blue Bay Lodge
272,Dillon,US,73.11,clear sky,34.4166,-79.3712,Dillon Express Inn
274,Paragominas,BR,69.69,overcast clouds,-2.9667,-47.4833,INOVA
