City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Machilipatnam,IN,2022-09-20 21:27:50,16.1667,81.1333,77.25,86,100,8.86
68,Pevek,RU,2022-09-20 21:27:50,69.7008,170.3133,37.11,61,82,13.2
69,La Ronge,CA,2022-09-20 21:27:50,55.1001,-105.2842,52.05,82,100,19.57
70,Chuy,UY,2022-09-20 21:27:51,-33.6971,-53.4616,53.73,79,100,10.74
71,Dingle,PH,2022-09-20 21:27:51,10.9995,122.6711,75.88,88,100,2.1
72,Richards Bay,ZA,2022-09-20 21:27:51,-28.783,32.0377,64.02,86,100,13.47
73,Sawakin,SD,2022-09-20 21:27:52,19.1059,37.3321,85.93,57,88,3.89
74,Alofi,NU,2022-09-20 21:27:52,-19.0595,-169.9187,78.69,78,75,17.27
75,Hermanus,ZA,2022-09-20 21:27:52,-34.4187,19.2345,53.8,77,0,9.28
76,Bluff,NZ,2022-09-20 21:27:53,-46.6,168.3333,46.8,87,100,2.42
77,Iberia,US,2022-09-20 21:27:53,29.9502,-91.7507,91.96,43,0,8.05
78,Gravdal,NO,2022-09-20 21:27:53,68.1214,13.5031,48.09,71,75,10.36
79,Pringsewu,ID,2022-09-20 21:27:54,-5.3582,104.9744,72.97,94,100,1.39
80,Champerico,GT,2022-09-20 21:27:54,14.3,-91.9167,84.74,75,40,9.19
81,Shatsk,RU,2022-09-20 21:27:55,54.0258,41.7119,51.53,68,100,2.13
82,Parrita,CR,2022-09-20 21:27:55,9.5201,-84.3225,80.8,77,100,6.46
83,Portland,US,2022-09-20 21:27:32,45.5234,-122.6762,87.67,25,20,9.22
84,Codrington,AU,2022-09-20 21:27:55,-38.2667,141.9667,50.97,93,100,7.54
85,Ler,SS,2022-09-20 21:27:56,8.3018,30.1418,73.67,90,16,3.47
86,Sola,VU,2022-09-20 21:27:56,-13.8833,167.55,83.07,79,40,4.61
87,Saint George,US,2022-09-20 21:27:56,37.1041,-113.5841,92.79,16,0,12.66
88,Yellowknife,CA,2022-09-20 21:27:57,62.456,-114.3525,55.92,47,20,8.05
89,Qaanaaq,GL,2022-09-20 21:27:57,77.484,-69.3632,24.33,63,100,6.15
90,Severo-Kurilsk,RU,2022-09-20 21:27:58,50.6789,156.125,49.48,73,55,15.43
91,Praia,CV,2022-09-20 21:28:58,14.9215,-23.5087,79.34,78,20,13.8
92,Shingu,JP,2022-09-20 21:28:58,33.7333,135.9833,64.49,74,99,4.99
93,Conde,BR,2022-09-20 21:28:59,-7.2597,-34.9075,76.46,78,0,9.22
94,Kindberg,AT,2022-09-20 21:28:59,47.5,15.45,48.29,94,57,2.75
95,Balykshi,KZ,2022-09-20 21:28:59,47.0667,51.8667,69.8,17,0,6.71
96,Garowe,SO,2022-09-20 21:29:00,8.4054,48.4845,79.03,66,42,20.07
97,Guerrero Negro,MX,2022-09-20 21:29:00,27.9769,-114.0611,77.25,62,20,14.52
98,Fortuna,US,2022-09-20 21:29:01,40.5982,-124.1573,72.93,67,32,5.99
99,Nikolskoye,RU,2022-09-20 21:29:01,59.7035,30.7861,49.91,95,74,3.42
100,Muros,ES,2022-09-20 21:29:01,42.7762,-9.0603,68.85,81,1,6.69
101,East London,ZA,2022-09-20 21:29:02,-33.0153,27.9116,59.58,71,38,7.11
102,Chokurdakh,RU,2022-09-20 21:25:22,70.6333,147.9167,31.66,93,100,14.43
103,Turan,VN,2022-09-20 21:29:02,16.0678,108.2208,76.98,94,75,2.3
104,Leshukonskoye,RU,2022-09-20 21:29:03,64.8989,45.7622,47.28,97,100,5.32
105,Ostrovnoy,RU,2022-09-20 21:29:03,68.0531,39.5131,44.6,92,100,25.48
106,San Quintin,MX,2022-09-20 21:29:04,30.4833,-115.95,74.53,66,77,15.52
107,Luderitz,NA,2022-09-20 21:29:04,-26.6481,15.1594,64.98,35,0,9.48
108,Boromo,BF,2022-09-20 21:29:05,11.75,-2.9333,72.45,97,100,5.41
109,Aykhal,RU,2022-09-20 21:29:05,66.0,111.5,24.3,95,100,15.93
110,Makanya,TZ,2022-09-20 21:27:13,-4.3667,37.8333,67.77,82,19,3.74
111,Hobart,AU,2022-09-20 21:26:25,-42.8794,147.3294,54.05,67,75,4.61
112,Mehamn,NO,2022-09-20 21:29:06,71.0357,27.8492,42.75,70,75,5.75
